isbn13,anger,disgust,fear,joy,sadness,surprise,neutral,dominant_emotion,max_score
9780002005883,0.02964138425886631,0.3382389545440674,0.9839729070663452,0.9490276575088501,0.9560651183128357,0.7296023368835449,0.697845995426178,fear,0.9839729070663452
9780002261982,0.5944677591323853,0.46199047565460205,0.9352148771286011,0.704422116279602,0.051413506269454956,0.21222199499607086,0.8911095857620239,fear,0.9352148771286011
9780006178736,0.041300948709249496,0.024568334221839905,0.9732851982116699,0.7672379016876221,0.0108598368242383,0.009796067140996456,0.04217585548758507,fear,0.9732851982116699
9780006280897,0.32530561089515686,0.12576283514499664,0.4363380968570709,0.24220922589302063,0.043272215873003006,0.029083792120218277,0.732684850692749,neutral,0.732684850692749
9780006280934,0.09173231571912766,0.19743433594703674,0.09504346549510956,0.04114595800638199,0.47588032484054565,0.07487813383340836,0.8900479674339294,neutral,0.8900479674339294
9780006380832,0.2061540186405182,0.7573783993721008,0.03679516911506653,0.04337579756975174,0.10883200913667679,0.2719038724899292,0.6213915348052979,disgust,0.7573783993721008
9780006470229,0.5513837337493896,0.18220345675945282,0.7008535861968994,0.872565746307373,0.348862886428833,0.06177803501486778,0.7286503911018372,joy,0.872565746307373
9780006472612,0.023656314238905907,0.05670749396085739,0.40449732542037964,0.013375170528888702,0.7591323256492615,0.23448680341243744,0.2921658754348755,sadness,0.7591323256492615
9780006482079,0.3006701171398163,0.28747665882110596,0.8970007300376892,0.016693463549017906,0.3096057176589966,0.18258145451545715,0.885516345500946,fear,0.8970007300376892
9780006483014,0.017658427357673645,0.17792658507823944,0.049456968903541565,0.03219778090715408,0.04835094138979912,0.055708251893520355,0.8603723645210266,neutral,0.8603723645210266
9780006483892,0.05883371829986572,0.07331307977437973,0.04019531235098839,0.5343117713928223,0.16030198335647583,0.1801675409078598,0.9092972278594971,neutral,0.9092972278594971
9780006483908,0.5781014561653137,0.3063538372516632,0.919026255607605,0.012553784996271133,0.16931365430355072,0.12936291098594666,0.5549606084823608,fear,0.919026255607605
9780006486145,0.07590623199939728,0.15934188663959503,0.9810059070587158,0.4908638596534729,0.11458849161863327,0.03272327408194542,0.8094726800918579,fear,0.9810059070587158
9780006490456,0.04196573793888092,0.025780009105801582,0.8885286450386047,0.9289146065711975,0.8678783178329468,0.2171812206506729,0.568445086479187,joy,0.9289146065711975
9780006496434,0.12648849189281464,0.24003788828849792,0.9441870450973511,0.36935728788375854,0.7966846823692322,0.7586001753807068,0.5404859185218811,fear,0.9441870450973511
9780006496878,0.1026352122426033,0.0253576822578907,0.8091757893562317,0.0035851907450705767,0.8029156923294067,0.006833164021372795,0.05131053924560547,fear,0.8091757893562317
9780006496892,0.16215923428535461,0.47978466749191284,0.02939230389893055,0.002157110720872879,0.1753087341785431,0.008734791539609432,0.14246313273906708,disgust,0.47978466749191284
9780006496922,0.004236506298184395,0.0022075711749494076,0.002205684781074524,0.72022944688797,0.011674250476062298,0.0464865081012249,0.2129599153995514,joy,0.72022944688797
9780006498865,0.06168179586529732,0.1648624688386917,0.9776939153671265,0.2310148924589157,0.04276391118764877,0.047079019248485565,0.7024752497673035,fear,0.9776939153671265
9780006499169,0.20966798067092896,0.16600866615772247,0.7907243967056274,0.9211544394493103,0.3710488975048065,0.04337811842560768,0.6362953782081604,joy,0.9211544394493103
9780006499268,0.10191842913627625,0.18191862106323242,0.28457847237586975,0.7975157499313354,0.031080814078450203,0.013560905121266842,0.3810790181159973,joy,0.7975157499313354
9780006499626,0.024609139189124107,0.012155828066170216,0.018375113606452942,0.3022974133491516,0.015365011990070343,0.059596650302410126,0.9116889834403992,neutral,0.9116889834403992
9780006511489,0.03095937892794609,0.027850238606333733,0.4490538537502289,0.017850959673523903,0.023520341143012047,0.12096097320318222,0.3298042118549347,fear,0.4490538537502289
9780006512677,0.02297002449631691,0.11234066635370255,0.015081467106938362,0.055189963430166245,0.9318581223487854,0.14326490461826324,0.960356593132019,neutral,0.960356593132019
9780006513087,0.34315162897109985,0.5161927938461304,0.4826429784297943,0.03512425348162651,0.1084165945649147,0.0681946873664856,0.7253857254981995,neutral,0.7253857254981995
9780006514640,0.06548046320676804,0.48908764123916626,0.92762291431427,0.011161833070218563,0.526080846786499,0.047672733664512634,0.4026951789855957,fear,0.92762291431427
9780006514855,0.016607146710157394,0.01271894108504057,0.010384060442447662,0.05647924914956093,0.066145159304142,0.04214666038751602,0.8665342926979065,neutral,0.8665342926979065
9780006545866,0.05798712745308876,0.6732147336006165,0.016543354839086533,0.037265148013830185,0.04235738143324852,0.03549951687455177,0.8765935897827148,neutral,0.8765935897827148
9780006551393,0.052852459251880646,0.02860923856496811,0.0036331606097519398,0.007861653342843056,0.012533338740468025,0.012526468373835087,0.8819836974143982,neutral,0.8819836974143982
9780006551812,0.34632766246795654,0.07953346520662308,0.3963777422904968,0.8569724559783936,0.06353410333395004,0.8701024651527405,0.9253404140472412,neutral,0.9253404140472412
9780006646006,0.0652901902794838,0.02315608784556389,0.027529196813702583,0.9748926162719727,0.8713161945343018,0.2584061026573181,0.8161154985427856,joy,0.9748926162719727
